x,f1,f2,f3,f4,f5,f6,f7,f8
147,0,0,0.428,0.512,0.412,0.512,0.512,0.72438151
148,0,0,0.428,0.512,0.412,0.512,0.512,0.724251302
149,0,0,0.428,0.512,0.412,0.512,0.512,0.725032552
150,0,0,0.428,0.512,0.412,0.512,0.512,0.724967448
151,0,0,0.428,0.512,0.412,0.512,0.512,0.725358073
152,0,0,0.428,0.512,0.408,0.512,0.512,0.725325521
153,0,0,0.428,0.512,0.408,0.512,0.512,0.724902344
154,0,0,0.432,0.512,0.408,0.512,0.512,0.724869792
155,0,0,0.432,0.512,0.408,0.512,0.512,0.724023438
156,0,0,0.432,0.512,0.408,0.512,0.512,0.724707031
157,0,0,0.432,0.512,0.408,0.512,0.512,0.725390625
158,0,0,0.432,0.512,0.408,0.512,0.512,0.724707031
159,0,0,0.432,0.512,0.412,0.512,0.512,0.724511719
160,0,0,0.432,0.512,0.412,0.512,0.512,0.724186198
161,0,0,0.432,0.512,0.412,0.512,0.512,0.722330729
162,0,0,0.428,0.512,0.416,0.512,0.512,0.722558594
163,0,0,0.428,0.512,0.42,0.512,0.512,0.7234375
164,0,0,0.424,0.512,0.42,0.512,0.512,0.723795573
165,0,0,0.424,0.512,0.42,0.512,0.512,0.719759115
166,0,0,0.424,0.512,0.42,0.512,0.512,0.721223958
167,0,0,0.424,0.512,0.42,0.512,0.512,0.721875
168,0,0,0.424,0.512,0.42,0.512,0.512,0.722591146
169,0,0,0.424,0.512,0.42,0.512,0.512,0.722460938
170,0,0,0.424,0.512,0.42,0.512,0.512,0.722005208
171,0,0,0.424,0.512,0.42,0.512,0.512,0.722330729
172,0,0,0.424,0.512,0.42,0.512,0.512,0.722135417
173,0,0,0.424,0.512,0.42,0.512,0.512,0.722363281
174,0,0,0.424,0.512,0.42,0.512,0.512,0.722786458
175,0,0,0.428,0.512,0.42,0.512,0.512,0.722135417
176,0,0,0.428,0.512,0.42,0.512,0.512,0.722949219
177,0,0,0.428,0.512,0.42,0.512,0.512,0.72327474
178,0,0,0.428,0.512,0.42,0.512,0.512,0.722851563
179,0,0,0.428,0.512,0.42,0.512,0.512,0.724348958
180,0,0,0.428,0.512,0.42,0.512,0.512,0.725846354
181,0,0,0.428,0.512,0.42,0.512,0.512,0.72483724
182,0,0,0.428,0.512,0.42,0.512,0.512,0.72639974
183,0,0,0.428,0.512,0.42,0.512,0.512,0.7265625
