x,f1,f2,f3,f4,f5,f6,f7,f8
331,0,0,0.428,0.54,0.408,0.54,0.54,0.740364583
332,0,0,0.428,0.54,0.416,0.54,0.54,0.741210938
333,0,0,0.428,0.54,0.404,0.54,0.54,0.742154948
334,0,0,0.428,0.536,0.408,0.536,0.536,0.741308594
335,0,0,0.428,0.536,0.412,0.536,0.536,0.740266927
336,0,0,0.424,0.536,0.416,0.536,0.536,0.740527344
337,0,0,0.424,0.536,0.416,0.536,0.536,0.73984375
338,0,0,0.424,0.536,0.416,0.536,0.536,0.740364583
339,0,0,0.424,0.536,0.416,0.536,0.536,0.741080729
340,0,0,0.424,0.536,0.416,0.536,0.536,0.739550781
341,0,0,0.424,0.536,0.416,0.536,0.536,0.73922526
342,0,0,0.424,0.536,0.416,0.536,0.536,0.739550781
343,0,0,0.424,0.536,0.416,0.536,0.536,0.741178385
344,0,0,0.424,0.536,0.416,0.536,0.536,0.741145833
345,0,0,0.424,0.536,0.416,0.536,0.536,0.740201823
346,0,0,0.424,0.536,0.416,0.536,0.536,0.740950521
347,0,0,0.424,0.536,0.416,0.536,0.536,0.740201823
348,0,0,0.424,0.536,0.416,0.536,0.536,0.740852865
349,0,0,0.424,0.536,0.416,0.536,0.536,0.740722656
350,0,0,0.424,0.536,0.416,0.536,0.536,0.741080729
351,0,0,0.428,0.536,0.416,0.536,0.536,0.740755208
352,0,0,0.428,0.536,0.416,0.536,0.536,0.740722656
353,0,0,0.428,0.536,0.416,0.536,0.536,0.742285156
354,0,0,0.428,0.536,0.416,0.536,0.536,0.741796875
355,0,0,0.428,0.536,0.416,0.536,0.536,0.741048177
356,0,0,0.428,0.536,0.416,0.536,0.536,0.742480469
357,0,0,0.428,0.536,0.416,0.536,0.536,0.741373698
358,0,0,0.428,0.536,0.416,0.536,0.536,0.74235026
359,0,0,0.428,0.536,0.416,0.536,0.536,0.741731771
360,0,0,0.428,0.536,0.416,0.536,0.536,0.741959635
361,0,0,0.428,0.536,0.416,0.536,0.536,0.742415365
362,0,0,0.428,0.536,0.416,0.536,0.536,0.741731771
363,0,0,0.428,0.536,0.416,0.536,0.536,0.742480469
364,0,0,0.428,0.536,0.416,0.536,0.536,0.742708333
365,0,0,0.428,0.536,0.416,0.536,0.536,0.743489583
366,0,0,0.428,0.536,0.416,0.536,0.536,0.743196615
367,0,0,0.428,0.536,0.416,0.536,0.536,0.742643229
368,0,0,0.428,0.536,0.416,0.536,0.536,0.742675781
369,0,0,0.428,0.536,0.416,0.536,0.536,0.74235026
370,0,0,0.428,0.536,0.416,0.536,0.536,0.74202474
371,0,0,0.428,0.536,0.416,0.536,0.536,0.743261719
372,0,0,0.432,0.536,0.416,0.536,0.536,0.742317708
373,0,0,0.432,0.536,0.416,0.536,0.536,0.742447917
374,0,0,0.432,0.536,0.416,0.536,0.536,0.742089844
375,0,0,0.432,0.536,0.416,0.536,0.536,0.742513021
376,0,0,0.432,0.536,0.416,0.536,0.536,0.742382813
377,0,0,0.432,0.536,0.4,0.536,0.536,0.743717448
378,0,0,0.432,0.536,0.412,0.536,0.536,0.742871094
379,0,0,0.432,0.536,0.412,0.536,0.536,0.743489583
380,0,0,0.432,0.536,0.412,0.536,0.536,0.74296875
381,0,0,0.432,0.536,0.408,0.536,0.536,0.742675781
382,0,0,0.432,0.536,0.408,0.536,0.536,0.741699219
383,0,0,0.432,0.536,0.408,0.536,0.536,0.742382813
384,0,0,0.432,0.536,0.412,0.536,0.536,0.742415365
385,0,0,0.432,0.536,0.412,0.536,0.536,0.742415365
386,0,0,0.432,0.536,0.412,0.536,0.536,0.743782552
387,0,0,0.432,0.536,0.412,0.536,0.536,0.742675781
388,0,0,0.432,0.536,0.412,0.536,0.536,0.741438802
389,0,0,0.432,0.536,0.412,0.536,0.536,0.740983073
390,0,0,0.432,0.536,0.412,0.536,0.536,0.740885417
391,0,0,0.432,0.536,0.412,0.536,0.536,0.739453125
392,0,0,0.432,0.536,0.412,0.536,0.536,0.739192708
393,0,0,0.432,0.536,0.416,0.536,0.536,0.74046224
394,0,0,0.432,0.536,0.42,0.536,0.536,0.74046224
395,0,0,0.428,0.536,0.416,0.536,0.536,0.741373698
396,0,0,0.428,0.536,0.416,0.536,0.536,0.741015625
397,0,0,0.428,0.536,0.416,0.536,0.536,0.74078776
398,0,0,0.428,0.536,0.416,0.536,0.536,0.740299479
399,0,0,0.424,0.536,0.412,0.536,0.536,0.741438802
400,0,0,0.424,0.536,0.416,0.536,0.536,0.740201823
401,0,0,0.424,0.536,0.416,0.536,0.536,0.738248698
402,0,0,0.424,0.532,0.416,0.532,0.532,0.739973958
403,0,0,0.424,0.536,0.416,0.536,0.536,0.738964844
404,0,0,0.424,0.536,0.416,0.536,0.536,0.740722656
405,0,0,0.424,0.532,0.416,0.532,0.532,0.742382813
406,0,0,0.424,0.532,0.416,0.532,0.532,0.741210938
407,0,0,0.424,0.532,0.416,0.532,0.532,0.740950521
408,0,0,0.424,0.532,0.416,0.532,0.532,0.742122396
409,0,0,0.424,0.532,0.416,0.532,0.532,0.739811198
410,0,0,0.424,0.532,0.416,0.532,0.532,0.741145833
411,0,0,0.424,0.532,0.416,0.532,0.532,0.740299479
412,0,0,0.424,0.532,0.416,0.532,0.532,0.741861979
413,0,0,0.42,0.532,0.416,0.532,0.532,0.741471354
414,0,0,0.42,0.532,0.416,0.532,0.532,0.742610677
415,0,0,0.42,0.532,0.416,0.532,0.532,0.741048177
416,0,0,0.42,0.532,0.416,0.532,0.532,0.740950521
417,0,0,0.42,0.532,0.416,0.532,0.532,0.741764323
418,0,0,0.42,0.532,0.416,0.532,0.532,0.741731771
419,0,0,0.42,0.532,0.416,0.532,0.532,0.741666667
420,0,0,0.424,0.532,0.416,0.532,0.532,0.741178385
421,0,0,0.424,0.532,0.416,0.532,0.532,0.741471354
422,0,0,0.424,0.532,0.416,0.532,0.532,0.741764323
423,0,0,0.424,0.532,0.416,0.532,0.532,0.741373698
424,0,0,0.424,0.532,0.416,0.532,0.532,0.741894531
425,0,0,0.424,0.532,0.416,0.532,0.532,0.742838542
426,0,0,0.424,0.532,0.416,0.532,0.532,0.743294271
427,0,0,0.424,0.532,0.416,0.532,0.532,0.74202474
428,0,0,0.424,0.532,0.416,0.532,0.532,0.741894531
429,0,0,0.424,0.532,0.416,0.532,0.532,0.742773438
430,0,0,0.428,0.532,0.416,0.532,0.532,0.74296875
431,0,0,0.428,0.532,0.416,0.532,0.532,0.742936198
432,0,0,0.428,0.532,0.416,0.532,0.532,0.74235026
433,0,0,0.428,0.532,0.416,0.532,0.532,0.743229167
434,0,0,0.428,0.532,0.416,0.532,0.532,0.742740885
