x,f1,f2,f3,f4,f5,f6,f7,f8
909,0,0,0.436,0.548,0.42,0.548,0.548,0.664908854
910,0,0,0.436,0.544,0.42,0.544,0.544,0.681608073
911,0,0,0.436,0.54,0.42,0.54,0.54,0.69703776
912,0,0,0.436,0.532,0.42,0.532,0.532,0.708789063
913,0,0,0.436,0.528,0.412,0.528,0.528,0.712272135
914,0,0,0.436,0.524,0.412,0.524,0.524,0.72750651
915,0,0,0.436,0.52,0.412,0.52,0.52,0.739908854
916,0,0,0.436,0.516,0.412,0.516,0.516,0.745735677
917,0,0,0.436,0.512,0.404,0.512,0.512,0.748242188
918,0,0,0.436,0.508,0.404,0.508,0.508,0.748502604
919,0,0,0.436,0.504,0.408,0.504,0.504,0.749121094
920,0,0,0.436,0.504,0.408,0.504,0.504,0.750748698
921,0,0,0.436,0.5,0.408,0.5,0.5,0.751139323
922,1,0,0.436,0.496,0.408,0.496,0.496,0.751627604
923,1,0,0.436,0.5,0.408,0.5,0.5,0.750683594
924,1,0,0.436,0.5,0.408,0.5,0.5,0.751757813
925,1,0,0.436,0.504,0.408,0.504,0.504,0.752115885
926,1,0,0.436,0.512,0.412,0.512,0.512,0.751204427
927,1,0,0.436,0.516,0.416,0.516,0.516,0.750813802
928,1,0,0.436,0.52,0.416,0.52,0.52,0.751074219
929,1,0,0.436,0.528,0.416,0.528,0.528,0.749967448
930,1,0,0.436,0.532,0.416,0.532,0.532,0.750488281
931,1,0,0.436,0.536,0.416,0.536,0.536,0.751204427
932,1,0,0.436,0.544,0.416,0.544,0.544,0.751855469
933,0,0.184,0.428,0.544,0.42,0.544,0.544,0.75296224
934,0,0.216,0.42,0.536,0.364,0.536,0.536,0.749967448
935,0,0.152,0.424,0.532,0.412,0.532,0.532,0.730794271
936,0,0.2,0.424,0.524,0.388,0.524,0.524,0.736295573
937,0,0.224,0.412,0.52,0.42,0.52,0.52,0.720572917
938,0,0.252,0.42,0.516,0.424,0.516,0.516,0.704231771
939,0,0.252,0.42,0.512,0.42,0.512,0.512,0.686295573
940,0,0.248,0.42,0.508,0.42,0.508,0.508,0.669628906
941,0,0.26,0.42,0.504,0.416,0.504,0.504,0.650846354
942,0,0.168,0.412,0.5,0.416,0.5,0.5,0.627441406
943,1,0,0.412,0.5,0.42,0.5,0.5,0.630729167
944,1,0,0.416,0.5,0.424,0.5,0.5,0.630794271
945,1,0.248,0.4,0.496,0.408,0.496,0.496,0.632128906
946,1,0.232,0.412,0.496,0.38,0.496,0.496,0.616927083
947,1,0.152,0.42,0.5,0.428,0.5,0.5,0.601464844
948,1,0.164,0.412,0.5,0.388,0.5,0.5,0.602473958
949,1,0.184,0.424,0.504,0.396,0.504,0.504,0.601757813
950,1,0.264,0.412,0.504,0.408,0.504,0.504,0.595540365
951,1,0.328,0.416,0.508,0.424,0.508,0.508,0.5734375
952,1,0.276,0.428,0.508,0.424,0.508,0.508,0.525585938
953,1,0.26,0.424,0.512,0.424,0.512,0.512,0.496321615
954,1,0.256,0.424,0.516,0.424,0.516,0.516,0.474902344
955,1,0.284,0.428,0.52,0.404,0.52,0.52,0.450130208
956,1,0.292,0.416,0.52,0.42,0.52,0.52,0.422949219
957,1,0.34,0.416,0.524,0.424,0.524,0.524,0.397070313
958,1,0.268,0.42,0.524,0.42,0.524,0.524,0.36077474
959,1,0.252,0.416,0.528,0.412,0.528,0.528,0.333528646
960,1,0,0.428,0.532,0.428,0.532,0.532,0.324707031
961,1,0,0.432,0.536,0.428,0.536,0.536,0.322623698
962,1,0,0.432,0.54,0.428,0.54,0.54,0.3203125
963,1,0,0.436,0.544,0.428,0.544,0.544,0.318652344
964,1,0,0.44,0.548,0.428,0.548,0.548,0.318619792
965,1,0,0.44,0.552,0.428,0.552,0.552,0.320963542
966,1,0,0.436,0.556,0.428,0.556,0.556,0.318424479
967,1,0,0.432,0.56,0.428,0.56,0.56,0.316699219
968,0,0,0.432,0.56,0.428,0.56,0.56,0.317838542
969,0,0,0.432,0.56,0.428,0.56,0.56,0.333105469
970,0,0,0.432,0.556,0.428,0.556,0.556,0.358528646
