x-r,y-r,x-s,y-s
-0.445844277,-0.058971302,-1.198389659,-0.016766417
-2.442635928,-0.015205126,-2.898541615,-0.05325285
3.892950586,-0.59241468,4.505817181,0.002082601
4.498119502,-0.0042187,4.505817181,0.002082601
-1.141285917,0.027954423,-2.416617563,-0.032605423
-0.877029464,0.011390569,-0.412558985,-0.005699584
-0.098601915,-0.039462164,-1.941575262,0.107806038
-0.880026736,0.008761389,-0.458545285,-0.005666745
-0.901358948,0.009745972,-0.458545285,-0.005666745
-1.234580962,0.092108606,-2.832170619,-0.001379948
2.983270851,-1.124130477,0.011485499,2.795966407
4.493766059,-0.005810119,4.17148823,-0.136999013
-1.349931888,0.085231984,-2.202934924,-0.12454484
-0.802219199,-0.009845868,-0.467217878,0.032665355
0.762458419,-0.073837553,-2.103737862,0.208410266
-0.789791103,-0.008359847,-0.512388374,0.032125583
-0.804972204,-0.006026411,-0.512388374,0.032125583
-0.942234987,0.085281018,0.290121944,-0.047708974
2.286650442,-0.600493914,1.377164691,1.104354193
4.504736745,0.001553515,4.505817181,0.002082601
-1.485505374,0.018313999,-2.158083545,-0.032702031
-0.470891531,0.164689763,-0.922413902,0.201575841
-0.75465097,0.251000138,-2.124459917,0.052433967
-0.520767567,0.15391211,-0.960790427,0.198515018
-0.510490082,0.16715921,-0.960790427,0.198515018
-2.652880422,-0.028224254,-2.977975467,0.018678534
4.505362874,0.002541988,-1.001037797,0.687270835
4.505713624,0.002110549,3.130862852,-0.850850029
-1.319390257,-0.014430329,-2.254854924,0.09322441
-0.993450225,0.024660169,-2.508649169,0.071984766
0.319231444,0.149568275,-2.038084255,0.231882124
-0.993171181,0.030115437,-2.523350541,0.070858138
-1.01426217,0.026892108,-2.523350541,0.070858138
-1.159342651,0.06115753,0.613268563,0.003424731
4.505721895,0.002142062,-0.14224516,-1.064856543
4.505770724,0.002077149,4.116268634,-0.313678858
-1.310337143,0.019985514,-1.727789767,0.197952976
-0.823325625,-0.036970297,-0.492795901,0.389815744
0.666721922,-0.04978417,-1.910968527,0.308152458
