x-r,y-r,x-s,y-s
-1.955295468,0.384682662,-3.475706973,-0.036067282
3.94323354,-0.004597202,0.586773739,0.352471027
3.941639517,-0.004941882,3.943233567,-0.004597196
-1.825771182,0.01715985,-2.908241622,-0.256932339
-0.80165633,0.166468299,-1.096147567,0.039489439
-0.395183124,0.181260711,-2.802323989,0.000104222
-0.798255367,0.160642851,-1.140305106,0.038639652
-0.797778682,0.166268302,-1.140305106,0.038639652
-1.12780885,-0.559652507,-3.392591459,-0.107533573
1.945255693,-2.39268886,0.826952731,3.455491835
3.250138266,-0.798461693,2.823491534,0.557475291
-1.533502709,0.21228054,-3.035533204,-0.150607607
-1.452156377,0.099008527,-3.466012915,0.006375285
-1.281195338,0.379338253,-2.538871774,0.029242093
-1.398305021,0.088911342,-3.474799329,0.006019739
-1.401583547,0.084835008,-3.474799329,0.006019739
1.336610994,1.141936871,0.833927054,0.20091833
-1.556213033,-2.992624378,0.445526961,-0.309886616
2.779885785,-0.47166433,3.943233567,-0.004597196
-1.245096368,-0.288306421,-2.436168534,-0.088302835
-0.960605299,0.038530446,-1.061737378,-0.053357795
-0.005754353,-0.223562012,-1.909507772,0.294837972
-0.935919822,-0.003054262,-1.106408502,-0.052821802
-0.949719333,-0.00726494,-1.106408502,-0.052821802
3.858067859,0.004161764,-3.451102086,0.002751363
2.415931834,-1.210907837,3.943233567,-0.004597196
3.82845898,-0.079444981,3.943233567,-0.004597196
-1.863676966,-0.015312013,-3.14830179,-0.168577212
-1.289103134,-0.263433982,-1.251311166,0.239642858
-0.951010116,-0.253165701,-2.437742781,0.019565083
-1.252389098,-0.252466674,-1.29315283,0.235805707
-1.257931954,-0.256278283,-1.29315283,0.235805707
-0.192107285,-0.036655093,-1.659484945,-1.788719149
2.847703541,-0.20769581,0.044707822,1.886900932
3.60757967,-0.116490735,3.943233567,-0.004597196
-1.24514689,-0.383146274,-2.903020519,0.408307421
-1.185584009,0.070292575,-2.91611595,0.026799316
-0.067469929,-0.511224464,-2.793335546,0.413920849
-1.131053481,0.062573257,-2.933109781,0.026138934
-1.1290598,0.057205663,-2.933109781,0.026138934
2.144546966,-0.909704423,-3.780591205,0.146421856
2.426877974,-1.675408899,3.943233567,-0.004597196
3.828864688,-0.116299823,3.943233567,-0.004597196
-1.855345304,0.02799565,-3.135401913,-0.19866033
-1.246625087,-0.220329087,-1.320188925,0.282027806
-0.917126999,-0.089869263,-2.450873529,0.00117615
-1.212172637,-0.207758627,-1.361002563,0.277558044
-1.217160298,-0.21499772,-1.361002563,0.277558044
-0.188601635,-0.131127529,-1.143465779,-1.94848175
3.060740742,1.035546941,3.943233567,-0.004597196
3.820836695,0.157282031,3.943233567,-0.004597196
-1.780227347,-0.060338263,-3.250255709,-0.046664553
-1.297437788,0.205814087,-2.028961574,0.041540809
-0.737002494,0.264409975,-2.767041694,-0.102702502
-1.261774469,0.183981128,-2.059196516,0.040660405
-1.269780582,0.182933364,-2.059196516,0.040660405
-0.100188014,-0.539502375,-3.508436115,-0.057126365
3.943233542,-0.004597221,-0.055002909,-0.159389311
3.940745037,-0.005996467,3.943233567,-0.004597196
-1.689891174,-0.073823073,-2.758335224,-0.213959192
-1.070976512,0.318790286,-1.121737698,-0.162176475
0.104729486,-0.131689035,-2.396729343,-0.281358725
-1.056080748,0.299726177,-1.165513295,-0.160016323
-1.060136395,0.309424965,-1.165513295,-0.160016323
-1.797512303,0.408997577,-3.29325024,0.174536598
1.586922954,-2.758959643,0.563797841,-0.198211661
3.096585266,-1.007038796,3.943233567,-0.004597196
-1.668106593,0.253497971,-2.404736183,-0.07118163
-1.317494375,-0.115286606,-1.12137514,-0.007271243
-0.631217318,0.157507566,-2.080586208,-0.151547577
